Date Time, Water Level, Sigma, O or I (for verified), F, R, L, Quality 
2023-09-23 19:00,245.262,0.023,0,0,0,0,v
2023-09-23 19:06,245.266,0.030,0,0,0,0,v
2023-09-23 19:12,245.279,0.023,0,0,0,0,v
2023-09-23 19:18,245.292,0.026,0,0,0,0,v
2023-09-23 19:24,245.318,0.020,0,0,0,0,v
2023-09-23 19:30,245.315,0.026,0,0,0,0,v
2023-09-23 19:36,245.322,0.023,0,0,0,0,v
2023-09-23 19:42,245.315,0.020,0,0,0,0,v
2023-09-23 19:48,245.299,0.020,0,0,0,0,v
2023-09-23 19:54,245.299,0.016,0,0,0,0,v
2023-09-23 20:00,245.299,0.016,0,0,0,0,v
2023-09-23 20:06,245.305,0.020,0,0,0,0,v
2023-09-23 20:12,245.292,0.016,0,0,0,0,v
2023-09-23 20:18,245.299,0.020,0,0,0,0,v
2023-09-23 20:24,245.302,0.016,0,0,0,0,v
2023-09-23 20:30,245.289,0.013,0,0,0,0,v
2023-09-23 20:36,245.279,0.013,0,0,0,0,v
2023-09-23 20:42,245.272,0.013,0,0,0,0,v
2023-09-23 20:48,245.279,0.013,0,0,0,0,v
2023-09-23 20:54,245.282,0.013,0,0,0,0,v
2023-09-23 21:00,245.279,0.013,0,0,0,0,v
2023-09-23 21:06,245.276,0.013,0,0,0,0,v
2023-09-23 21:12,245.276,0.013,0,0,0,0,v
2023-09-23 21:18,245.269,0.013,0,0,0,0,v
2023-09-23 21:24,245.289,0.013,0,0,0,0,v
2023-09-23 21:30,245.282,0.013,0,0,0,0,v
2023-09-23 21:36,245.285,0.013,0,0,0,0,v
2023-09-23 21:42,245.299,0.013,0,0,0,0,v
2023-09-23 21:48,245.308,0.013,0,0,0,0,v
2023-09-23 21:54,245.318,0.013,0,0,0,0,v
2023-09-23 22:00,245.315,0.026,0,0,0,0,v
2023-09-23 22:06,245.315,0.020,0,0,0,0,v
2023-09-23 22:12,245.325,0.020,0,0,0,0,v
2023-09-23 22:18,245.325,0.016,0,0,0,0,v
2023-09-23 22:24,245.328,0.010,0,0,0,0,v
2023-09-23 22:30,245.328,0.010,0,0,0,0,v
2023-09-23 22:36,245.331,0.010,0,0,0,0,v
2023-09-23 22:42,245.331,0.010,0,0,0,0,v
2023-09-23 22:48,245.328,0.039,0,0,0,0,v
2023-09-23 22:54,245.325,0.013,0,0,0,0,v
2023-09-23 23:00,245.325,0.013,0,0,0,0,v
2023-09-23 23:06,245.328,0.016,0,0,0,0,v
2023-09-23 23:12,245.335,0.013,0,0,0,0,v
2023-09-23 23:18,245.335,0.013,0,0,0,0,v
2023-09-23 23:24,245.331,0.010,0,0,0,0,v
2023-09-23 23:30,245.338,0.010,0,0,0,0,v
2023-09-23 23:36,245.344,0.010,0,0,0,0,v
2023-09-23 23:42,245.351,0.007,0,0,0,0,v
2023-09-23 23:48,245.344,0.010,0,0,0,0,v
2023-09-23 23:54,245.351,0.007,0,0,0,0,v
2023-09-24 00:00,245.348,0.010,0,0,0,0,v
2023-09-24 00:06,245.354,0.010,0,0,0,0,v
2023-09-24 00:12,245.358,0.007,0,0,0,0,v
2023-09-24 00:18,245.361,0.007,0,0,0,0,v
2023-09-24 00:24,245.361,0.003,0,0,0,0,v
2023-09-24 00:30,245.358,0.003,0,0,0,0,v
2023-09-24 00:36,245.348,0.007,0,0,0,0,v
2023-09-24 00:42,245.331,0.003,0,0,0,0,v
2023-09-24 00:48,245.315,0.007,0,0,0,0,v
2023-09-24 00:54,245.315,0.003,0,0,0,0,v
2023-09-24 01:00,245.328,0.003,0,0,0,0,v
2023-09-24 01:06,245.325,0.003,0,0,0,0,v
2023-09-24 01:12,245.325,0.010,0,0,0,0,v
2023-09-24 01:18,245.328,0.010,0,0,0,0,v
2023-09-24 01:24,245.322,0.039,0,0,0,0,v
2023-09-24 01:30,245.302,0.010,0,0,0,0,v
2023-09-24 01:36,245.292,0.010,0,0,0,0,v
2023-09-24 01:42,245.299,0.010,0,0,0,0,v
2023-09-24 01:48,245.312,0.010,0,0,0,0,v
2023-09-24 01:54,245.315,0.013,0,0,0,0,v
2023-09-24 02:00,245.318,0.039,0,0,0,0,v
2023-09-24 02:06,245.318,0.010,0,0,0,0,v
2023-09-24 02:12,245.312,0.010,0,0,0,0,v
2023-09-24 02:18,245.305,0.007,0,0,0,0,v
2023-09-24 02:24,245.305,0.013,0,0,0,0,v
2023-09-24 02:30,245.289,0.026,0,0,0,0,v
2023-09-24 02:36,245.295,0.013,0,0,0,0,v
2023-09-24 02:42,245.305,0.016,0,0,0,0,v
2023-09-24 02:48,245.295,0.010,0,0,0,0,v
2023-09-24 02:54,245.289,0.007,0,0,0,0,v
2023-09-24 03:00,245.272,0.007,0,0,0,0,v
2023-09-24 03:06,245.279,0.007,0,0,0,0,v
2023-09-24 03:12,245.276,0.003,0,0,0,0,v
2023-09-24 03:18,245.282,0.003,0,0,0,0,v
2023-09-24 03:24,245.299,0.007,0,0,0,0,v
2023-09-24 03:30,245.302,0.003,0,0,0,0,v
2023-09-24 03:36,245.305,0.003,0,0,0,0,v
2023-09-24 03:42,245.295,0.003,0,0,0,0,v
2023-09-24 03:48,245.302,0.003,0,0,0,0,v
2023-09-24 03:54,245.315,0.007,0,0,0,0,v
2023-09-24 04:00,245.312,0.003,0,0,0,0,v
2023-09-24 04:06,245.315,0.003,0,0,0,0,v
2023-09-24 04:12,245.308,0.003,0,0,0,0,v
2023-09-24 04:18,245.302,0.003,0,0,0,0,v
2023-09-24 04:24,245.302,0.003,0,0,0,0,v
2023-09-24 04:30,245.302,0.003,0,0,0,0,v
2023-09-24 04:36,245.292,0.003,0,0,0,0,v
2023-09-24 04:42,245.292,0.003,0,0,0,0,v
2023-09-24 04:48,245.308,0.003,0,0,0,0,v
2023-09-24 04:54,245.295,0.003,0,0,0,0,v
2023-09-24 05:00,245.282,0.003,0,0,0,0,v
2023-09-24 05:06,245.276,0.003,0,0,0,0,v
2023-09-24 05:12,245.279,0.003,0,0,0,0,v
2023-09-24 05:18,245.279,0.003,0,0,0,0,v
2023-09-24 05:24,245.289,0.003,0,0,0,0,v
2023-09-24 05:30,245.295,0.003,0,0,0,0,v
2023-09-24 05:36,245.295,0.003,0,0,0,0,v
2023-09-24 05:42,245.292,0.003,0,0,0,0,v
2023-09-24 05:48,245.276,0.003,0,0,0,0,v
2023-09-24 05:54,245.279,0.003,0,0,0,0,v
2023-09-24 06:00,245.269,0.003,0,0,0,0,v
2023-09-24 06:06,245.269,0.003,0,0,0,0,v
2023-09-24 06:12,245.266,0.003,0,0,0,0,v
2023-09-24 06:18,245.269,0.003,0,0,0,0,v
2023-09-24 06:24,245.272,0.003,0,0,0,0,v
2023-09-24 06:30,245.266,0.003,0,0,0,0,v
2023-09-24 06:36,245.253,0.003,0,0,0,0,v
2023-09-24 06:42,245.249,0.003,0,0,0,0,v
2023-09-24 06:48,245.256,0.003,0,0,0,0,v
2023-09-24 06:54,245.249,0.003,0,0,0,0,v
2023-09-24 07:00,245.240,0.003,0,0,0,0,v
2023-09-24 07:06,245.243,0.003,0,0,0,0,v
2023-09-24 07:12,245.249,0.003,0,0,0,0,v
2023-09-24 07:18,245.233,0.007,0,0,0,0,v
2023-09-24 07:24,245.226,0.007,0,0,0,0,v
2023-09-24 07:30,245.240,0.007,0,0,0,0,v
2023-09-24 07:36,245.246,0.007,0,0,0,0,v
2023-09-24 07:42,245.243,0.007,0,0,0,0,v
2023-09-24 07:48,245.246,0.007,0,0,0,0,v
2023-09-24 07:54,245.259,0.007,0,0,0,0,v
2023-09-24 08:00,245.249,0.007,0,0,0,0,v
2023-09-24 08:06,245.243,0.000,0,0,0,0,v
2023-09-24 08:12,245.243,0.010,0,0,0,0,v
2023-09-24 08:18,245.246,0.010,0,0,0,0,v
2023-09-24 08:24,245.240,0.020,0,0,0,0,v
2023-09-24 08:30,245.259,0.013,0,0,0,0,v
2023-09-24 08:36,245.262,0.013,0,0,0,0,v
2023-09-24 08:42,245.259,0.010,0,0,0,0,v
2023-09-24 08:48,245.253,0.010,0,0,0,0,v
2023-09-24 08:54,245.256,0.010,0,0,0,0,v
2023-09-24 09:00,245.246,0.010,0,0,0,0,v
2023-09-24 09:06,245.249,0.000,0,0,0,0,v
2023-09-24 09:12,245.249,0.013,0,0,0,0,v
2023-09-24 09:18,245.253,0.013,0,0,0,0,v
2023-09-24 09:24,245.253,0.013,0,0,0,0,v
2023-09-24 09:30,245.253,0.013,0,0,0,0,v
2023-09-24 09:36,245.210,0.020,0,0,0,0,v
2023-09-24 09:42,245.223,0.066,0,0,0,0,v
2023-09-24 09:48,245.217,0.016,0,0,0,0,v
2023-09-24 09:54,245.217,0.013,0,0,0,0,v
2023-09-24 10:00,245.233,0.013,0,0,0,0,v
2023-09-24 10:06,245.233,0.013,0,0,0,0,v
2023-09-24 10:12,245.259,0.010,0,0,0,0,v
2023-09-24 10:18,245.243,0.013,0,0,0,0,v
2023-09-24 10:24,245.243,0.013,0,0,0,0,v
2023-09-24 10:30,245.249,0.013,0,0,0,0,v
2023-09-24 10:36,245.230,0.016,0,0,0,0,v
2023-09-24 10:42,245.220,0.013,0,0,0,0,v
2023-09-24 10:48,245.249,0.010,0,0,0,0,v
2023-09-24 10:54,245.256,0.010,0,0,0,0,v
2023-09-24 11:00,245.256,0.013,0,0,0,0,v
2023-09-24 11:06,245.240,0.000,0,0,0,0,v
2023-09-24 11:12,245.233,0.013,0,0,0,0,v
2023-09-24 11:18,245.226,0.013,0,0,0,0,v
2023-09-24 11:24,245.223,0.013,0,0,0,0,v
2023-09-24 11:30,245.230,0.013,0,0,0,0,v
2023-09-24 11:36,245.217,0.016,0,0,0,0,v
2023-09-24 11:42,245.226,0.016,0,0,0,0,v
2023-09-24 11:48,245.240,0.016,0,0,0,0,v
2023-09-24 11:54,245.236,0.013,0,0,0,0,v
2023-09-24 12:00,245.223,0.013,0,0,0,0,v
2023-09-24 12:06,245.200,0.016,0,0,0,0,v
2023-09-24 12:12,245.213,0.013,0,0,0,0,v
2023-09-24 12:18,245.203,0.020,0,0,0,0,v
2023-09-24 12:24,245.220,0.016,0,0,0,0,v
2023-09-24 12:30,245.220,0.020,0,0,0,0,v
2023-09-24 12:36,245.220,0.023,0,0,0,0,v
2023-09-24 12:42,245.230,0.033,0,0,0,0,v
2023-09-24 12:48,245.203,0.016,0,0,0,0,v
2023-09-24 12:54,245.200,0.023,0,0,0,0,v
2023-09-24 13:00,245.190,0.023,0,0,0,0,v
2023-09-24 13:06,245.190,0.026,0,0,0,0,v
2023-09-24 13:12,245.194,0.026,0,0,0,0,v
2023-09-24 13:18,245.197,0.023,0,0,0,0,v
2023-09-24 13:24,245.197,0.023,0,0,0,0,v
2023-09-24 13:30,245.177,0.026,0,0,0,0,v
2023-09-24 13:36,245.184,0.030,0,0,0,0,v
2023-09-24 13:42,245.184,0.030,0,0,0,0,v
2023-09-24 13:48,245.164,0.026,0,0,0,0,v
2023-09-24 13:54,245.171,0.023,0,0,0,0,v
2023-09-24 14:00,245.171,0.023,0,0,0,0,v
2023-09-24 14:06,245.167,0.020,0,0,0,0,v
2023-09-24 14:12,245.167,0.023,0,0,0,0,v
2023-09-24 14:18,245.157,0.023,0,0,0,0,v
2023-09-24 14:24,245.154,0.023,0,0,0,0,v
2023-09-24 14:30,245.164,0.026,0,0,0,0,v
2023-09-24 14:36,245.164,0.023,0,0,0,0,v
2023-09-24 14:42,245.177,0.026,0,0,0,0,v
2023-09-24 14:48,245.177,0.023,0,0,0,0,v
2023-09-24 14:54,245.190,0.023,0,0,0,0,v
2023-09-24 15:00,245.187,0.023,0,0,0,0,v
2023-09-24 15:06,245.164,0.023,0,0,0,0,v
2023-09-24 15:12,245.157,0.023,0,0,0,0,v
2023-09-24 15:18,245.164,0.020,0,0,0,0,v
2023-09-24 15:24,245.151,0.023,0,0,0,0,v
2023-09-24 15:30,245.154,0.016,0,0,0,0,v
2023-09-24 15:36,245.154,0.020,0,0,0,0,v
2023-09-24 15:42,245.138,0.039,0,0,0,0,v
2023-09-24 15:48,245.144,0.026,0,0,0,0,v
2023-09-24 15:54,245.131,0.026,0,0,0,0,v
2023-09-24 16:00,245.128,0.023,0,0,0,0,v
2023-09-24 16:06,245.138,0.023,0,0,0,0,v
2023-09-24 16:12,245.154,0.026,0,0,0,0,v
2023-09-24 16:18,245.171,0.026,0,0,0,0,v
2023-09-24 16:24,245.174,0.023,0,0,0,0,v
2023-09-24 16:30,245.177,0.000,0,0,0,0,v
2023-09-24 16:36,245.164,0.023,0,0,0,0,v
2023-09-24 16:42,245.164,0.020,0,0,0,0,v
2023-09-24 16:48,245.184,0.023,0,0,0,0,v
2023-09-24 16:54,245.167,0.020,0,0,0,0,v
2023-09-24 17:00,245.180,0.020,0,0,0,0,v
2023-09-24 17:06,245.184,0.020,0,0,0,0,v
2023-09-24 17:12,245.187,0.020,0,0,0,0,v
2023-09-24 17:18,245.180,0.023,0,0,0,0,v
2023-09-24 17:24,245.167,0.000,0,0,0,0,v
2023-09-24 17:30,245.171,0.020,0,0,0,0,v
2023-09-24 17:36,245.180,0.020,0,0,0,0,v
2023-09-24 17:42,245.180,0.020,0,0,0,0,v
2023-09-24 17:48,245.194,0.016,0,0,0,0,v
2023-09-24 17:54,245.194,0.020,0,0,0,0,v
2023-09-24 18:00,245.194,0.016,0,0,0,0,v
2023-09-24 18:06,245.207,0.020,0,0,0,0,v
2023-09-24 18:12,245.207,0.023,0,0,0,0,v
2023-09-24 18:18,245.220,0.020,0,0,0,0,v
2023-09-24 18:24,245.236,0.020,0,0,0,0,v
2023-09-24 18:30,245.236,0.020,0,0,0,0,v
2023-09-24 18:36,245.236,0.016,0,0,0,0,v
2023-09-24 18:42,245.233,0.020,0,0,0,0,v
2023-09-24 18:48,245.226,0.023,0,0,0,0,v
2023-09-24 18:54,245.220,0.020,0,0,0,0,v
2023-09-24 19:00,245.210,0.033,0,0,0,0,v
2023-09-24 19:06,245.210,0.023,0,0,0,0,v
2023-09-24 19:12,245.226,0.023,0,0,0,0,v
2023-09-24 19:18,245.223,0.023,0,0,0,0,v
2023-09-24 19:24,245.207,0.020,0,0,0,0,v
2023-09-24 19:30,245.200,0.020,0,0,0,0,v
2023-09-24 19:36,245.194,0.026,0,0,0,0,v
2023-09-24 19:42,245.207,0.020,0,0,0,0,v
2023-09-24 19:48,245.210,0.020,0,0,0,0,v
2023-09-24 19:54,245.217,0.023,0,0,0,0,v
2023-09-24 20:00,245.240,0.020,0,0,0,0,v
2023-09-24 20:06,245.233,0.026,0,0,0,0,v
2023-09-24 20:12,245.236,0.026,0,0,0,0,v
2023-09-24 20:18,245.226,0.020,0,0,0,0,v
2023-09-24 20:24,245.217,0.016,0,0,0,0,v
2023-09-24 20:30,245.223,0.020,0,0,0,0,v
2023-09-24 20:36,245.230,0.020,0,0,0,0,v
2023-09-24 20:42,245.236,0.020,0,0,0,0,v
2023-09-24 20:48,245.236,0.016,0,0,0,0,v
2023-09-24 20:54,245.230,0.013,0,0,0,0,v
2023-09-24 21:00,245.226,0.016,0,0,0,0,v
2023-09-24 21:06,245.217,0.023,0,0,0,0,v
2023-09-24 21:12,245.203,0.013,0,0,0,0,v
2023-09-24 21:18,245.213,0.013,0,0,0,0,v
2023-09-24 21:24,245.217,0.013,0,0,0,0,v
2023-09-24 21:30,245.243,0.010,0,0,0,0,v
2023-09-24 21:36,245.249,0.010,0,0,0,0,v
2023-09-24 21:42,245.253,0.007,0,0,0,0,v
2023-09-24 21:48,245.246,0.007,0,0,0,0,v
2023-09-24 21:54,245.236,0.007,0,0,0,0,v
2023-09-24 22:00,245.236,0.007,0,0,0,0,v
2023-09-24 22:06,245.243,0.010,0,0,0,0,v
2023-09-24 22:12,245.249,0.013,0,0,0,0,v
2023-09-24 22:18,245.262,0.013,0,0,0,0,v
2023-09-24 22:24,245.262,0.007,0,0,0,0,v
2023-09-24 22:30,245.262,0.007,0,0,0,0,v
2023-09-24 22:36,245.256,0.007,0,0,0,0,v
2023-09-24 22:42,245.220,0.023,0,0,0,0,v
2023-09-24 22:48,245.240,0.056,0,0,0,0,v
2023-09-24 22:54,245.249,0.016,0,0,0,0,v
2023-09-24 23:00,245.262,0.010,0,0,0,0,v
2023-09-24 23:06,245.269,0.010,0,0,0,0,v
2023-09-24 23:12,245.272,0.016,0,0,0,0,v
2023-09-24 23:18,245.269,0.013,0,0,0,0,v
2023-09-24 23:24,245.266,0.007,0,0,0,0,v
2023-09-24 23:30,245.256,0.003,0,0,0,0,v
2023-09-24 23:36,245.256,0.003,0,0,0,0,v
2023-09-24 23:42,245.266,0.003,0,0,0,0,v
2023-09-24 23:48,245.276,0.003,0,0,0,0,v
2023-09-24 23:54,245.282,0.003,0,0,0,0,v
2023-09-25 00:00,245.282,0.003,0,0,0,0,v
2023-09-25 00:06,245.282,0.003,0,0,0,0,v
2023-09-25 00:12,245.272,0.003,0,0,0,0,v
2023-09-25 00:18,245.259,0.003,0,0,0,0,v
2023-09-25 00:24,245.262,0.003,0,0,0,0,v
2023-09-25 00:30,245.276,0.003,0,0,0,0,v
2023-09-25 00:36,245.276,0.003,0,0,0,0,v
2023-09-25 00:42,245.266,0.003,0,0,0,0,v
2023-09-25 00:48,245.262,0.003,0,0,0,0,v
2023-09-25 00:54,245.256,0.003,0,0,0,0,v
2023-09-25 01:00,245.249,0.003,0,0,0,0,v
2023-09-25 01:06,245.240,0.003,0,0,0,0,v
2023-09-25 01:12,245.240,0.003,0,0,0,0,v
2023-09-25 01:18,245.240,0.003,0,0,0,0,v
2023-09-25 01:24,245.253,0.003,0,0,0,0,v
2023-09-25 01:30,245.246,0.003,0,0,0,0,v
2023-09-25 01:36,245.233,0.003,0,0,0,0,v
2023-09-25 01:42,245.226,0.003,0,0,0,0,v
2023-09-25 01:48,245.246,0.003,0,0,0,0,v
2023-09-25 01:54,245.262,0.003,0,0,0,0,v
2023-09-25 02:00,245.259,0.010,0,0,0,0,v
2023-09-25 02:06,245.262,0.010,0,0,0,0,v
2023-09-25 02:12,245.269,0.043,0,0,0,0,v
2023-09-25 02:18,245.256,0.016,0,0,0,0,v
2023-09-25 02:24,245.240,0.013,0,0,0,0,v
2023-09-25 02:30,245.236,0.010,0,0,0,0,v
2023-09-25 02:36,245.240,0.007,0,0,0,0,v
2023-09-25 02:42,245.243,0.003,0,0,0,0,v
2023-09-25 02:48,245.243,0.007,0,0,0,0,v
2023-09-25 02:54,245.233,0.007,0,0,0,0,v
2023-09-25 03:00,245.213,0.003,0,0,0,0,v
2023-09-25 03:06,245.213,0.007,0,0,0,0,v
2023-09-25 03:12,245.210,0.003,0,0,0,0,v
2023-09-25 03:18,245.207,0.003,0,0,0,0,v
2023-09-25 03:24,245.223,0.003,0,0,0,0,v
2023-09-25 03:30,245.226,0.003,0,0,0,0,v
2023-09-25 03:36,245.230,0.007,0,0,0,0,v
2023-09-25 03:42,245.217,0.003,0,0,0,0,v
2023-09-25 03:48,245.210,0.003,0,0,0,0,v
2023-09-25 03:54,245.203,0.003,0,0,0,0,v
2023-09-25 04:00,245.207,0.003,0,0,0,0,v
2023-09-25 04:06,245.217,0.003,0,0,0,0,v
2023-09-25 04:12,245.223,0.003,0,0,0,0,v
2023-09-25 04:18,245.226,0.003,0,0,0,0,v
2023-09-25 04:24,245.226,0.003,0,0,0,0,v
2023-09-25 04:30,245.226,0.003,0,0,0,0,v
2023-09-25 04:36,245.210,0.003,0,0,0,0,v
2023-09-25 04:42,245.210,0.003,0,0,0,0,v
2023-09-25 04:48,245.203,0.003,0,0,0,0,v
2023-09-25 04:54,245.200,0.003,0,0,0,0,v
2023-09-25 05:00,245.197,0.003,0,0,0,0,v
2023-09-25 05:06,245.187,0.003,0,0,0,0,v
2023-09-25 05:12,245.180,0.003,0,0,0,0,v
2023-09-25 05:18,245.171,0.003,0,0,0,0,v
2023-09-25 05:24,245.174,0.007,0,0,0,0,v
2023-09-25 05:30,245.177,0.007,0,0,0,0,v
2023-09-25 05:36,245.184,0.007,0,0,0,0,v
2023-09-25 05:42,245.194,0.007,0,0,0,0,v
2023-09-25 05:48,245.200,0.007,0,0,0,0,v
2023-09-25 05:54,245.194,0.007,0,0,0,0,v
2023-09-25 06:00,245.190,0.007,0,0,0,0,v
2023-09-25 06:06,245.184,0.007,0,0,0,0,v
2023-09-25 06:12,245.190,0.003,0,0,0,0,v
2023-09-25 06:18,245.207,0.007,0,0,0,0,v
2023-09-25 06:24,245.217,0.003,0,0,0,0,v
2023-09-25 06:30,245.213,0.003,0,0,0,0,v
2023-09-25 06:36,245.207,0.007,0,0,0,0,v
2023-09-25 06:42,245.190,0.007,0,0,0,0,v
2023-09-25 06:48,245.184,0.007,0,0,0,0,v
2023-09-25 06:54,245.174,0.007,0,0,0,0,v
2023-09-25 07:00,245.174,0.007,0,0,0,0,v
2023-09-25 07:06,245.187,0.000,0,0,0,0,v
2023-09-25 07:12,245.187,0.007,0,0,0,0,v
2023-09-25 07:18,245.190,0.007,0,0,0,0,v
2023-09-25 07:24,245.180,0.007,0,0,0,0,v
2023-09-25 07:30,245.167,0.007,0,0,0,0,v
2023-09-25 07:36,245.154,0.007,0,0,0,0,v
2023-09-25 07:42,245.157,0.010,0,0,0,0,v
2023-09-25 07:48,245.154,0.016,0,0,0,0,v
2023-09-25 07:54,245.171,0.079,0,0,0,0,v
2023-09-25 08:00,245.180,0.026,0,0,0,0,v
2023-09-25 08:06,245.171,0.023,0,0,0,0,v
2023-09-25 08:12,245.174,0.016,0,0,0,0,v
2023-09-25 08:18,245.167,0.013,0,0,0,0,v
2023-09-25 08:24,245.161,0.013,0,0,0,0,v
2023-09-25 08:30,245.161,0.013,0,0,0,0,v
2023-09-25 08:36,245.164,0.013,0,0,0,0,v
2023-09-25 08:42,245.171,0.013,0,0,0,0,v
2023-09-25 08:48,245.164,0.000,0,0,0,0,v
2023-09-25 08:54,245.164,0.016,0,0,0,0,v
2023-09-25 09:00,245.151,0.016,0,0,0,0,v
2023-09-25 09:06,245.138,0.020,0,0,0,0,v
2023-09-25 09:12,245.131,0.020,0,0,0,0,v
2023-09-25 09:18,245.121,0.020,0,0,0,0,v
2023-09-25 09:24,245.121,0.020,0,0,0,0,v
2023-09-25 09:30,245.125,0.023,0,0,0,0,v
2023-09-25 09:36,245.125,0.023,0,0,0,0,v
2023-09-25 09:42,245.128,0.026,0,0,0,0,v
2023-09-25 09:48,245.121,0.023,0,0,0,0,v
2023-09-25 09:54,245.128,0.023,0,0,0,0,v
2023-09-25 10:00,245.135,0.023,0,0,0,0,v
2023-09-25 10:06,245.138,0.020,0,0,0,0,v
2023-09-25 10:12,245.141,0.023,0,0,0,0,v
2023-09-25 10:18,245.135,0.023,0,0,0,0,v
2023-09-25 10:24,245.141,0.023,0,0,0,0,v
2023-09-25 10:30,245.141,0.026,0,0,0,0,v
2023-09-25 10:36,245.131,0.023,0,0,0,0,v
2023-09-25 10:42,245.121,0.026,0,0,0,0,v
2023-09-25 10:48,245.121,0.026,0,0,0,0,v
2023-09-25 10:54,245.118,0.026,0,0,0,0,v
2023-09-25 11:00,245.118,0.030,0,0,0,0,v
2023-09-25 11:06,245.121,0.030,0,0,0,0,v
2023-09-25 11:12,245.135,0.023,0,0,0,0,v
2023-09-25 11:18,245.135,0.030,0,0,0,0,v
2023-09-25 11:24,245.141,0.026,0,0,0,0,v
2023-09-25 11:30,245.138,0.030,0,0,0,0,v
2023-09-25 11:36,245.131,0.030,0,0,0,0,v
2023-09-25 11:42,245.135,0.030,0,0,0,0,v
2023-09-25 11:48,245.141,0.026,0,0,0,0,v
2023-09-25 11:54,245.144,0.026,0,0,0,0,v
2023-09-25 12:00,245.151,0.030,0,0,0,0,v
2023-09-25 12:06,245.167,0.030,0,0,0,0,v
2023-09-25 12:12,245.177,0.033,0,0,0,0,v
2023-09-25 12:18,245.164,0.030,0,0,0,0,v
2023-09-25 12:24,245.148,0.033,0,0,0,0,v
2023-09-25 12:30,245.138,0.033,0,0,0,0,v
2023-09-25 12:36,245.121,0.039,0,0,0,0,v
